city,lat,lng,country,iso2,admin,capital,population,population_proper
Aznā,33.4557,49.4555,Iran,IR,Lorestān,minor,,
Fareydūnshahr,32.940979,50.121,Iran,IR,Eşfahān,minor,,
Poldasht,39.348,45.071,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Bandar-e Torkaman,36.901237,54.071948,Iran,IR,Golestān,minor,,
Gīvī,37.685846,48.342035,Iran,IR,Ardabīl,minor,,
Māmūnīyeh,35.305553,50.499199,Iran,IR,Markazī,minor,,
Jolfā,38.9404,45.6308,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Saqqez,36.2463,46.2665,Iran,IR,Kordestān,minor,,
Lālī,32.329,49.0936,Iran,IR,Khūzestān,minor,,
Rāvar,31.265625,56.80545,Iran,IR,Kermān,minor,,
Bandar-e Khamīr,26.9521,55.5851,Iran,IR,Hormozgān,minor,,
Bandar-e ‘Asalūyeh,27.4761,52.6074,Iran,IR,Būshehr,minor,,
Ābdānān,32.9926,47.4198,Iran,IR,Īlām,minor,,
Bostānābād,37.846331,46.835416,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Harsīn,34.2721,47.5861,Iran,IR,Kermānshāh,minor,,
Konārak,25.3604,60.3995,Iran,IR,Sīstān va Balūchestān,minor,,
Germī,39.0215,48.0801,Iran,IR,Ardabīl,minor,,
Māsāl,37.3631,49.1329,Iran,IR,Gīlān,minor,,
Shāhīn Shahr,32.857879,51.552904,Iran,IR,Eşfahān,minor,,
Rāmīān,37.015976,55.141226,Iran,IR,Golestān,minor,,
Kabūdarāhang,35.2084,48.724,Iran,IR,Hamadān,minor,,
Tāzehābād,34.7387,46.1496,Iran,IR,Kermānshāh,minor,,
Ahram,28.8826,51.2746,Iran,IR,Būshehr,minor,,
Mobārakeh,32.346508,51.504494,Iran,IR,Eşfahān,minor,,
Shahr-e Bābak,30.1165,55.1186,Iran,IR,Kermān,minor,,
Şaḩneh,34.4813,47.6908,Iran,IR,Kermānshāh,minor,,
Showţ,39.2192,44.77,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Khūr,33.775123,55.083294,Iran,IR,Eşfahān,minor,,
Naţanz,33.51118,51.918082,Iran,IR,Eşfahān,minor,,
Sarāyān,33.86017,58.521659,Iran,IR,Khorāsān-e Jonūbī,minor,,
Dargaz,37.444466,59.108087,Iran,IR,Khorāsān-e Raẕavī,minor,,
Āstāneh-ye Ashrafīyeh,37.263178,49.943248,Iran,IR,Gīlān,minor,,
Kalāleh,37.37899,55.493002,Iran,IR,Golestān,minor,,
Hashtgerd,35.962,50.6799,Iran,IR,Alborz,minor,,
Malekān,37.142585,46.103447,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Nūrābād,34.0734,47.9725,Iran,IR,Lorestān,minor,,
Kaleybar,38.865089,47.039091,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Marāveh Tappeh,37.904096,55.955965,Iran,IR,Golestān,minor,,
Poldokhtar,33.152492,47.710136,Iran,IR,Lorestān,minor,,
Qorveh,35.1664,47.8045,Iran,IR,Kordestān,minor,,
Alīgūdarz,33.400633,49.694901,Iran,IR,Lorestān,minor,,
Sardasht,36.1552,45.4788,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Sardasht,26.4559,57.9028,Iran,IR,Hormozgān,minor,,
Rey,35.593545,51.439966,Iran,IR,Tehrān,minor,,
Nūrābād,30.114052,51.521744,Iran,IR,Fārs,minor,,
Torbat-e Ḩeydarīyeh,35.274007,59.219487,Iran,IR,Khorāsān-e Raẕavī,minor,,
