city,lat,lng,country,iso2,admin,capital,population,population_proper
Tīrān,32.7026,51.1537,Iran,IR,Eşfahān,minor,,
Rāmshīr,30.893145,49.407868,Iran,IR,Khūzestān,minor,,
Sarvābād,35.3126,46.3669,Iran,IR,Kordestān,minor,,
Arakvāz-e Malekshāhī,33.3828,46.5983,Iran,IR,Īlām,minor,,
Mohr,27.5552,52.8836,Iran,IR,Fārs,minor,,
Esfarāyen,37.076448,57.510086,Iran,IR,Khorāsān-e Shomālī,minor,,
Chenārān,36.645462,59.121232,Iran,IR,Khorāsān-e Raẕavī,minor,,
Narmāshīr,28.952159,58.697732,Iran,IR,Kermān,minor,,
Jūybār,36.641152,52.912443,Iran,IR,Māzandarān,minor,,
Khorramshahr,30.44079,48.184283,Iran,IR,Khūzestān,minor,,
Ashkez̄ar,32.006609,54.214251,Iran,IR,Yazd,minor,,
Sarāb,37.9408,47.5367,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Maḩallāt,33.911083,50.453168,Iran,IR,Markazī,minor,,
Eshtehārd,35.7255,50.3662,Iran,IR,Alborz,minor,,
‘Alīābād-e Katūl,36.910109,54.867366,Iran,IR,Golestān,minor,,
Nīr,38.0346,47.9986,Iran,IR,Ardabīl,minor,,
Borāzjān,29.269896,51.218803,Iran,IR,Būshehr,minor,,
Mīnūdasht,37.230147,55.372111,Iran,IR,Golestān,minor,,
Kahnūj,27.9519,57.6996,Iran,IR,Kermān,minor,,
Nekā,36.650786,53.299048,Iran,IR,Māzandarān,minor,,
Dehgolān,35.278,47.4184,Iran,IR,Kordestān,minor,,
Oshnavīyeh,37.0397,45.0983,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Ābādeh,31.1608,52.6506,Iran,IR,Fārs,minor,,
Nūr,36.571681,52.015305,Iran,IR,Māzandarān,minor,,
Pāveh,35.0434,46.3565,Iran,IR,Kermānshāh,minor,,
Tafresh,34.693066,50.016007,Iran,IR,Markazī,minor,,
Meshgīn Shahr,38.399,47.682,Iran,IR,Ardabīl,minor,,
Nā’īn,32.860061,53.087491,Iran,IR,Eşfahān,minor,,
Sīāhkal,37.153284,49.871361,Iran,IR,Gīlān,minor,,
Chālūs,36.654996,51.420397,Iran,IR,Māzandarān,minor,,
Bonāb,37.3404,46.0561,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Bahār,34.9072,48.4414,Iran,IR,Hamadān,minor,,
Ābyek,36.03993,50.531015,Iran,IR,Qazvīn,minor,,
Komījān,34.7193,49.3268,Iran,IR,Markazī,minor,,
Nasīm Shahr,35.562102,51.16133,Iran,IR,Tehrān,minor,,
Semīrom,31.414183,51.569443,Iran,IR,Eşfahān,minor,,
Nehbandān,31.541853,60.036485,Iran,IR,Khorāsān-e Jonūbī,minor,,
Ardabīl,38.2498,48.2933,Iran,IR,Ardabīl,admin,,
Nowshahr,36.649,51.496,Iran,IR,Māzandarān,minor,,
Asadābād,34.782413,48.120118,Iran,IR,Hamadān,minor,,
Bāneh,35.9975,45.8853,Iran,IR,Kordestān,minor,,
Jīroft,28.6535,57.7646,Iran,IR,Kermān,minor,,
Boshrūyeh,33.868447,57.428851,Iran,IR,Khorāsān-e Jonūbī,minor,,
Kangāvar,34.5043,47.9653,Iran,IR,Kermānshāh,minor,,
Rāsak,26.236817,61.399009,Iran,IR,Sīstān va Balūchestān,minor,,
Sīsakht,30.863928,51.455901,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Naqadeh,36.9553,45.388,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Kāmyārān,34.7956,46.9355,Iran,IR,Kordestān,minor,,
Shaft,37.1702,49.3998,Iran,IR,Gīlān,minor,,
Najafābād,32.6344,51.3668,Iran,IR,Eşfahān,minor,,
Rūdān,27.441937,57.19198,Iran,IR,Hormozgān,minor,,
Fūman,37.224,49.3125,Iran,IR,Gīlān,minor,,
Hashtpar,37.79658,48.905209,Iran,IR,Gīlān,minor,,
Fahraj,28.9502,58.885,Iran,IR,Kermān,minor,,
Shādegān,30.64924,48.664969,Iran,IR,Khūzestān,minor,,
Damāvand,35.718418,52.069575,Iran,IR,Tehrān,minor,,
Kerend-e Gharb,34.2842,46.2423,Iran,IR,Kermānshāh,minor,,
Āq Qalā,37.013904,54.455042,Iran,IR,Golestān,minor,,
Dehlorān,32.6941,47.2679,Iran,IR,Īlām,minor,,
Jājarm,36.950122,56.380045,Iran,IR,Khorāsān-e Shomālī,minor,,
Pol-e Sefīd,36.117874,53.05531,Iran,IR,Māzandarān,minor,,
Sepīdān,30.260612,51.984243,Iran,IR,Fārs,minor,,
Hoveyzeh,31.4619,48.074,Iran,IR,Khūzestān,minor,,
Eyvān,33.8272,46.3097,Iran,IR,Īlām,minor,,
Sonqor,34.7837,47.6004,Iran,IR,Kermānshāh,minor,,
Āb Bar,36.9225,48.9745,Iran,IR,Zanjān,minor,,
Nahāvand,34.190877,48.374458,Iran,IR,Hamadān,minor,,
Sīrīk,26.516143,57.101941,Iran,IR,Hormozgān,minor,,
Reẕvānshahr,37.549758,49.137029,Iran,IR,Gīlān,minor,,
Ardestān,33.3761,52.3694,Iran,IR,Eşfahān,minor,,
Fāmenīn,35.1141,48.9718,Iran,IR,Hamadān,minor,,
Āzādshahr,37.08641,55.172224,Iran,IR,Golestān,minor,,
Salmās,38.1973,44.7653,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Feyẕābād,35.018907,58.783433,Iran,IR,Khorāsān-e Raẕavī,minor,,
Khonj,27.8913,53.4344,Iran,IR,Fārs,minor,,
Asadīyeh,32.942799,59.719977,Iran,IR,Khorāsān-e Jonūbī,minor,,
Gāvbandī,27.2083,53.0361,Iran,IR,Hormozgān,minor,,
Bāsht,30.361005,51.157351,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Taft,31.76056,54.223034,Iran,IR,Yazd,minor,,
Garmsār,35.218242,52.340849,Iran,IR,Semnān,minor,,
Farmahīn,34.503834,49.684367,Iran,IR,Markazī,minor,,
Khalkhāl,37.6189,48.5258,Iran,IR,Ardabīl,minor,,
Behābād,31.870913,56.024332,Iran,IR,Yazd,minor,,
Mehrīz,31.585255,54.441484,Iran,IR,Yazd,minor,,
Farīmān,35.70685,59.85006,Iran,IR,Khorāsān-e Raẕavī,minor,,
Bandar-e Deylam,30.0542,50.159,Iran,IR,Būshehr,minor,,
Qīr,28.4825,53.0346,Iran,IR,Fārs,minor,,
Khorramdarreh,36.20898,49.19152,Iran,IR,Zanjān,minor,,
Marand,38.4329,45.7749,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Jāsk,25.645335,57.775524,Iran,IR,Hormozgān,minor,,
Khondāb,34.3928,49.1841,Iran,IR,Markazī,minor,,
Khalīlābād,35.253952,58.285658,Iran,IR,Khorāsān-e Raẕavī,minor,,
Varazqān,38.675485,46.112051,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Manūjān,27.406976,57.501278,Iran,IR,Kermān,minor,,
Farāshband,28.8713,52.0916,Iran,IR,Fārs,minor,,
Sa‘ādat Shahr,30.079207,53.134639,Iran,IR,Fārs,minor,,
